run_id,timestamp_utc,train_dataset,model_type,seed,train_n,val_n,vocab_size,embed_dim,max_len,lstm_units,dropout,lr,batch_size,epochs,time_train_s,time_eval_s,time_total_s,tf,keras,gensim,numpy,pandas,sklearn,test_set,accuracy,auc,aod,test_n,oov_rate,pair_seed,order_in_pair,pair_order
2126ad6a-c6ae-431e-94f0-bce8754bfb18,2026-01-21T22:30:12Z,cassandra,ordinal,411383475,993,332,59,100,100,128,0.2,0.001,24,100,2013.0289289951324,9.251731157302856,2039.3745317459104,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2933526011560693,0.6368573446824431,0.6389691829681396,692,0.0,411383475,0,ordinal > onehot
2126ad6a-c6ae-431e-94f0-bce8754bfb18,2026-01-21T22:30:12Z,cassandra,ordinal,411383475,993,332,59,100,100,128,0.2,0.001,24,100,2013.0289289951324,9.251731157302856,2039.3745317459104,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2431289640591966,0.594559442496355,0.6157505512237549,473,3.0180023842218837e-05,411383475,0,ordinal > onehot
fd259c1b-1eb7-4a5e-8240-5899e09f4722,2026-01-21T22:56:10Z,cassandra,onehot,411383475,993,332,59,100,100,128,0.2,0.001,24,100,1531.1222319602966,7.932920217514038,1556.2578330039978,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.5030120481927711,0.781883268175773,0.7093373537063599,332,0.0,411383475,1,ordinal > onehot
fd259c1b-1eb7-4a5e-8240-5899e09f4722,2026-01-21T22:56:10Z,cassandra,onehot,411383475,993,332,59,100,100,128,0.2,0.001,24,100,1531.1222319602966,7.932920217514038,1556.2578330039978,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.3208092485549133,0.5946553357910715,0.6124758720397949,692,0.0,411383475,1,ordinal > onehot
fd259c1b-1eb7-4a5e-8240-5899e09f4722,2026-01-21T22:56:10Z,cassandra,onehot,411383475,993,332,59,100,100,128,0.2,0.001,24,100,1531.1222319602966,7.932920217514038,1556.2578330039978,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2706131078224101,0.5766826232334387,0.603065550327301,473,3.0180023842218837e-05,411383475,1,ordinal > onehot
08451aa2-0242-4702-ad6b-e3ca76067ce8,2026-01-21T23:22:06Z,cassandra,ordinal,1757885371,993,332,59,100,100,128,0.2,0.001,24,100,1529.996263742447,7.579163551330566,1555.374296426773,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.466867469879518,0.7569577143976131,0.7085843086242676,332,0.0,1757885371,0,ordinal > onehot
08451aa2-0242-4702-ad6b-e3ca76067ce8,2026-01-21T23:22:06Z,cassandra,ordinal,1757885371,993,332,59,100,100,128,0.2,0.001,24,100,1529.996263742447,7.579163551330566,1555.374296426773,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2658959537572254,0.6082190337412701,0.5862234234809875,692,0.0,1757885371,0,ordinal > onehot
08451aa2-0242-4702-ad6b-e3ca76067ce8,2026-01-21T23:22:06Z,cassandra,ordinal,1757885371,993,332,59,100,100,128,0.2,0.001,24,100,1529.996263742447,7.579163551330566,1555.374296426773,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2346723044397463,0.5853280637122869,0.5912614464759827,473,3.0180023842218837e-05,1757885371,0,ordinal > onehot
91d78fb1-c93a-45a8-b1b9-0229e58a3767,2026-01-21T23:38:24Z,cassandra,onehot,446844309,993,332,59,100,100,128,0.2,0.001,24,100,437.69227153980427,4.337616550049488,457.07925258904595,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.5045711003860701,0.7857868796843452,0.6838094101828089,332,0.0,446844309,0,onehot > ordinal
91d78fb1-c93a-45a8-b1b9-0229e58a3767,2026-01-21T23:38:24Z,cassandra,onehot,446844309,993,332,59,100,100,128,0.2,0.001,24,100,437.69227153980427,4.337616550049488,457.07925258904595,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.27001272557340744,0.582513275304022,0.5829615979405968,692,0.0,446844309,0,onehot > ordinal
